,Company Name ,Symbol ,Sector ,Sub-Sector ,Listing Date ,Listing Board ,Dominant_Name,Shares?,Duplicated?
213,Pryce Corporation,PPC,INDUSTRIAL,CHEMICALS,1991/10/29,Main Board,Pryce,False,False
214,"Philippine Racing Club, Inc.",PRC,SERVICES,CASINOS & GAMING,1952/03/02,Main Board,Philippine Racing Club,False,False
215,Premiere Island Power REIT Corporation,PREIT,PROPERTY,PROPERTY,2022/12/15,Main Board,Premiere Island Power REIT,False,False
216,"Prime Media Holdings, Inc.",PRIM,HOLDING FIRMS,HOLDING FIRMS,1964/07/29,Main Board,Prime Media Holdings,False,False
217,Primex Corporation,PRMX,PROPERTY,PROPERTY,2001/08/10,Main Board,Primex,False,False
218,Philippine Savings Bank,PSB,FINANCIALS,BANKS,1994/10/10,Main Board,Philippine Savings Bank,False,False
219,"The Philippine Stock Exchange, Inc.",PSE,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,2003/12/15,Main Board,The Philippine Stock Exchange,False,False
220,Philippine Trust Company,PTC,FINANCIALS,BANKS,1988/02/17,Main Board,Philippine Trust,False,False
221,PT&T Corp.,PTT,SERVICES,TELECOMMUNICATIONS,1990/01/10,Main Board,PT&T,False,False
222,Philex Mining Corporation,PX,MINING & OIL,MINING,1956/11/23,Main Board,Philex Mining,False,False
223,PXP Energy Corporation,PXP,MINING & OIL,OIL,2011/09/12,Main Board,PXP Energy,False,False
224,Rizal Commercial Banking Corporation,RCB,FINANCIALS,BANKS,1986/11/06,Main Board,Rizal Commercial Banking,False,False
225,"Roxas and Company, Inc.",RCI,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1948/11/29,Roxas,False,False
226,"RL Commercial REIT, Inc.",RCR,PROPERTY,PROPERTY,2021/09/14,Main Board,RL Commercial REIT,False,False
227,Repower Energy Development Corporation,REDC,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,Repower Energy Development,False,False
228,Republic Glass Holdings Corporation,REG,HOLDING FIRMS,HOLDING FIRMS,1959/07/17,Main Board,Republic Glass Holdings,False,False
229,RFM Corporation,RFM,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1966/02/21,RFM,False,False
230,Robinsons Land Corporation,RLC,PROPERTY,PROPERTY,1989/10/16,Main Board,Robinsons Land,False,False
231,Philippine Realty and Holdings Corporation,RLT,PROPERTY,PROPERTY,1987/09/07,Main Board,Philippine Realty and Holdings,False,False
232,Rockwell Land Corporation,ROCK,PROPERTY,PROPERTY,2012/05/11,Main Board,Rockwell Land,False,False
233,"Roxas Holdings, Inc.",ROX,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1996/08/08,Roxas Holdings,False,False
234,"Robinsons Retail Holdings, Inc.",RRHI,SERVICES,RETAIL,2013/11/11,Main Board,Robinsons Retail Holdings,False,False
235,SBS Philippines Corporation,SBS,SERVICES,OTHER SERVICES,2015/08/10,Main Board,SBS Philippines,False,False
236,Semirara Mining and Power Corporation,SCC,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,Semirara Mining and Power,False,False
237,Security Bank Corporation,SECB,FINANCIALS,BANKS,1995/06/08,Main Board,Security Bank,False,False
238,Philippine Seven Corporation,SEVN,SERVICES,RETAIL,1998/02/04,Main Board,Philippine Seven,False,False
239,"Swift Foods, Inc.",SFI,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1994/11/15,Swift Foods,False,False
240,"Solid Group, Inc.",SGI,HOLDING FIRMS,HOLDING FIRMS,1948/04/26,Main Board,Solid Group,False,False
241,"Synergy Grid & Development Phils., Inc.",SGP,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,Synergy Grid & Development Phils.,False,False
242,Shell Pilipinas Corporation,SHLPH,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,Shell Pilipinas,False,False
243,"Shang Properties, Inc.",SHNG,PROPERTY,PROPERTY,1991/06/13,Main Board,Shang Properties,False,False
244,Sun Life Financial Inc.,SLF,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,2000/03/24,Main Board,Sun Life Financial,False,False
245,"Sta. Lucia Land, Inc.",SLI,PROPERTY,PROPERTY,1987/09/14,Main Board,Sta. Lucia Land,False,False
246,SM Investments Corporation,SM,HOLDING FIRMS,HOLDING FIRMS,2005/03/22,Main Board,SM Investments,False,False
247,San Miguel Corporation,SMC,HOLDING FIRMS,HOLDING FIRMS,1948/11/05,Main Board,San Miguel,False,False
248,"SM Prime Holdings, Inc.",SMPH,PROPERTY,PROPERTY,1994/07/05,Main Board,SM Prime Holdings,False,False
249,"SOCResources, Inc.",SOC,PROPERTY,PROPERTY,1994/01/05,Main Board,SOCResources,False,False
250,SPC Power Corporation,SPC,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,SPC Power,False,False
251,Seafront Resources Corporation,SPM,HOLDING FIRMS,HOLDING FIRMS,1974/05/07,Main Board,Seafront Resources,False,False
252,SP New Energy Corporation,SPNEC,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,SP New Energy,False,False
253,Supercity Realty Development Corporation,SRDC,INDUSTRIAL,CONSTRUCTION, INFR. & ALLIED,2003/12/19,Supercity Realty Development,False,False
254,"SSI Group, Inc.",SSI,SERVICES,RETAIL,2014/11/07,Main Board,SSI Group,False,False
255,SFA Semicon Philippines Corporation,SSP,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2014/12/01,Main Board,SFA Semicon Philippines,False,False
256,"STI Education Systems Holdings, Inc.",STI,SERVICES,EDUCATION,1976/10/12,Main Board,STI Education Systems Holdings,False,False
257,Steniel Manufacturing Corporation,STN,INDUSTRIAL,OTHER INDUSTRIALS,1993/11/22,Main Board,Steniel Manufacturing,False,False
258,"Vistamalls, Inc.",STR,PROPERTY,PROPERTY,1970/11/17,Main Board,Vistamalls,False,False
259,"Suntrust Resort Holdings, Inc.",SUN,PROPERTY,PROPERTY,1959/02/11,Main Board,Suntrust Resort Holdings,False,False
260,TKC Metals Corporation,T,INDUSTRIAL,CONSTRUCTION, INFR. & ALLIED,2001/07/20,TKC Metals,False,False
261,Transpacific Broadband Group Int`l. Inc.,TBGI,SERVICES,INFORMATION TECHNOLOGY,2003/12/12,Main Board,Transpacific Broadband Group Int`l.,False,False
262,Cirtek Holdings Philippines Corporation,TECH,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2011/11/18,Main Board,Cirtek Holdings Philippines,False,False
263,PLDT Inc.,TEL,SERVICES,TELECOMMUNICATIONS,1953/09/17,Main Board,PLDT,False,False
264,PTFC Redevelopment Corporation,TFC,PROPERTY,PROPERTY,1955/12/19,Main Board,PTFC Redevelopment,False,False
265,"Top Frontier Investment Holdings, Inc.",TFHI,HOLDING FIRMS,HOLDING FIRMS,2014/01/13,Main Board,Top Frontier Investment Holdings,False,False
266,"Harbor Star Shipping Services, Inc.",TUGS,SERVICES,TRANSPORTATION SERVICES,2013/10/30,Main Board,Harbor Star Shipping Services,False,False
267,Union Bank of the Philippines,UBP,FINANCIALS,BANKS,1992/06/29,Main Board,Union Bank of the Philippines,False,False
268,Uniholdings Inc.,UNH,INDUSTRIAL,CHEMICALS,1985/11/21,Main Board,Uniholdings,False,False
269,United Paragon Mining Corporation,UPM,MINING & OIL,MINING,1972/08/31,Main Board,United Paragon Mining,False,False
270,Upson International Corp.,UPSON,SERVICES,RETAIL,2023/04/03,Main Board,Upson International,False,False
271,Universal Robina Corporation,URC,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1994/03/25,Universal Robina,False,False
272,"Vantage Equities, Inc.",V,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,1993/03/30,Main Board,Vantage Equities,False,False
273,Vitarich Corporation,VITA,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1995/02/08,Vitarich,False,False
274,"Vista Land & Lifescapes, Inc.",VLL,PROPERTY,PROPERTY,2007/06/25,Main Board,Vista Land & Lifescapes,False,False
275,"Victorias Milling Company, Inc.",VMC,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1993/11/15,Victorias Milling,False,False
276,"VistaREIT, Inc.",VREIT,PROPERTY,PROPERTY,2022/06/15,Main Board,VistaREIT,False,False
277,Vivant Corporation,VVT,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,Vivant,False,False
278,Philweb Corporation,WEB,SERVICES,CASINOS & GAMING,1969/12/08,Main Board,Philweb,False,False
279,"Wellex Industries, Inc.",WIN,HOLDING FIRMS,HOLDING FIRMS,1958/01/09,Main Board,Wellex Industries,False,False
280,"Wilcon Depot, Inc.",WLCON,SERVICES,RETAIL,2017/03/31,Main Board,Wilcon Depot,False,False
281,"Waterfront Philippines, Incorporated",WPI,SERVICES,HOTEL & LEISURE,1995/03/17,Main Board,Waterfront Philippines,False,False
282,Xurpas Inc.,X,SME,SME,2014/12/02,SME Board,Xurpas,False,False
283,NexGen Energy Corp.,XG,SME,SME,2024/07/16,SME Board,NexGen Energy,False,False
284,"Zeus Holdings, Inc.",ZHI,HOLDING FIRMS,HOLDING FIRMS,1991/07/15,Main Board,Zeus Holdings,False,False
